,a2x3h_Sa_tbot,a2x3h_Sa_shum,Dew_Point
0,280.47418,0.0051529277,225.29508060492532
1,279.51828,0.004532939,224.1838495630981
2,278.55624,0.004285117,223.71812047850196
3,278.6454,0.0040700575,223.289587407199
4,279.2985,0.0037261706,222.5315548547712
5,278.78958,0.0038212556,222.76377288842687
6,277.46448,0.0037895886,222.70935206134996
7,276.1632,0.0035825833,222.23646225687293
8,275.31842,0.0034511422,221.92247778327817
9,274.6664,0.0034657544,221.96825876970863
10,274.11575,0.003594872,222.29987574132463
11,275.02466,0.0038890063,222.99533217016815
12,276.69513,0.0040452266,223.3429382239853
13,275.65384,0.0038647645,222.96710362214628
14,274.2134,0.0036286644,222.44933470508428
15,273.3731,0.003436717,222.0008249408034
16,273.02432,0.0033256067,221.7454650658727
17,272.96695,0.0032740904,221.63164534687647
18,272.94882,0.003242919,221.5681601320363
19,274.06326,0.0033195608,221.76091103177896
20,275.49695,0.0033120008,221.74324419046667
21,274.4177,0.0032810958,221.67596465088107
22,273.3956,0.0031755897,221.41013492291253
23,272.94406,0.0030794982,221.17603338548213
24,272.86523,0.003031305,221.05328687941625
25,273.04977,0.003021357,221.010411587657
26,273.51932,0.0030581285,221.1070816994749
27,275.04825,0.0032811037,221.71027104279665
28,277.06042,0.0036715479,222.6707409025984
29,277.64334,0.0037527813,222.857408869832
30,277.9403,0.0035899251,222.47152465302224
31,278.17047,0.0035428551,222.35386766058787
32,277.51025,0.0035618313,222.3991353376788
33,276.28726,0.0035983396,222.4824016366709
34,275.99414,0.0036942526,222.70470435192345
35,277.01642,0.003910449,223.18979222436303
36,277.8616,0.0036333534,222.53353137781727
37,277.34454,0.0034850503,222.15936109186703
38,277.0323,0.0034759261,222.12004687217595
39,276.37662,0.0035137048,222.18557828895328
40,276.0438,0.003684294,222.55908548862692
41,276.21915,0.0041131037,223.479432196948
42,276.8789,0.0048075733,224.8161146563985
43,278.35925,0.005449725,225.89884228666895
44,280.10077,0.005799943,226.41420172332795
45,282.12524,0.006790452,227.8198508453081
46,283.4608,0.0073139686,228.49233272219865
47,283.11554,0.007254419,228.421352457598
48,283.02332,0.0070920917,228.20352980772415
49,283.3664,0.007488951,228.6776146186241
50,283.41843,0.007945152,229.1727796287096
51,284.16754,0.008210786,229.46235793263335
52,285.03473,0.006963818,227.9459329177172
53,283.1824,0.006216352,226.9397300227201
54,282.2873,0.0064909696,227.33704564927197
55,282.5145,0.0068148104,227.77239157727624
56,282.44775,0.006874623,227.83381158532825
57,282.42926,0.0066231117,227.48111658328665
58,280.8048,0.004602123,224.26315197497516
59,280.27573,0.004483316,224.07393288745752
60,281.62018,0.003809803,222.6764625278396
61,281.7089,0.004076845,223.28518915045888
62,282.1802,0.004732123,224.59466228413743
63,282.21136,0.005159067,225.35194836995137
64,282.00964,0.0054434296,225.8129963089857
65,281.61392,0.0057118186,226.21992777022183
66,281.75317,0.0060720416,226.75204959282377
67,282.4807,0.0067208824,227.6606271916185
68,283.50067,0.0068302704,227.7990604936593
69,282.6332,0.005995781,226.63589540687892
70,281.66772,0.0056940177,226.1907908070994
71,281.21753,0.00556864,226.01429496665745
72,280.5563,0.005354631,225.6892532969096
73,279.74872,0.0051141125,225.31258086752493
74,278.8549,0.004939204,225.03611798893184
75,279.78546,0.005044902,225.24645029677384
76,281.56073,0.0046398146,224.50560442484493
77,280.95898,0.004345014,223.93351112691624
78,281.19452,0.004644539,224.51855372172363
79,281.50534,0.005162786,225.4461933840444
80,281.56348,0.0056653796,226.26389754757184
81,281.70404,0.0060853832,226.89329932218453
