,a2x3h_Sa_tbot,a2x3h_Sa_shum,a2x3h_Sa_pbot,relative_humidity,Dew_Point
0,281.80487,0.0071382113,96700.836,98.50867131691533,228.0371593795763
1,281.05463,0.0064595863,97028.05,94.14341592801524,227.16081793152046
2,280.0912,0.0056392504,97512.75,88.2493823829938,225.98494099473197
3,281.11267,0.0050216103,97834.125,73.50420737142956,224.9761130410463
4,282.31125,0.0043916986,98007.195,59.35289380501859,223.80519979697712
5,281.5179,0.00475778,98162.38,67.9702576565693,224.52664953556598
6,280.49283,0.005223421,98267.71,80.13169698556523,225.36818274080628
7,280.15204,0.0052543427,98374.5,82.60833961546892,225.43176097422747
8,279.7929,0.0049068793,98513.16,79.19267990453422,224.83770134082044
9,278.87167,0.0047546653,98656.51,81.91666181601587,224.5751422576605
10,278.92328,0.004850296,98822.49,83.40534291423847,224.765986365688
11,280.48837,0.0049041067,98923.375,75.7603195391229,224.86709181567335
12,281.9087,0.0045963004,98846.664,64.38742571722891,224.2821453109765
13,280.79065,0.0046646083,98695.375,70.41762230361454,224.4028514274358
14,279.60983,0.0050958106,98449.805,83.23558076438556,225.16790121100456
15,279.13718,0.005349699,98089.84,89.9613079019082,225.56995692116914
16,279.20737,0.0053869006,97645.45,89.73668907827668,225.5908820257791
17,279.1191,0.0054543326,97232.414,91.03041597611778,225.66430895452064
18,278.7619,0.005489871,97023.6,93.72577973698886,225.70435903497008
19,278.7752,0.005430606,96919.45,92.52835655704824,225.59772309614561
20,278.78275,0.005172646,96956.92,88.12100585954182,225.1676057879587
21,278.19614,0.004930875,97214.03,87.74570163684463,224.76864096281255
22,277.43762,0.0048110383,97559.22,90.61468150793907,224.58512631329535
23,277.19714,0.004816603,97934.1,92.62498871712103,224.63016746179207
24,277.5148,0.0047704247,98261.22,90.00830671872221,224.5735120242714
25,277.5995,0.004759349,98545.64,89.52539921848486,224.57830447164102
26,277.6165,0.0047128126,98783.73,88.7588008875398,224.51284190015085
27,278.23254,0.0047119227,98998.39,85.17659683377582,224.5282826416382
28,279.23273,0.0046990076,99132.2,79.33402043706454,224.51249443725928
29,278.7822,0.004899562,99295.7,85.49263389093841,224.89847562246914
